CU	Tomato EST	A.t. Best	A.t.	        EST
T1662	TRZBC76TH	AF069442.1	4.0180000	cLEZ8M7
T1664	TRZBC80TH	AB008268.1	5.2820000	cLEZ8M15
T1665	TRZBC87TH	AC010155.3	1.0615000	cLEZ8O5
T1666	TRZBD03TH	AC006300.3	2.1440000	cLEZ8A6
T1667	TRZBD06TH	AB025606.1	5.2060000	cLEZ8A12
T1668	TRZBD07TH	AL080253.2	4.1060000	cLEZ8A14
T1669	TRZBD08TH	AC007454.3	1.0740000	cLEZ8A16
T1670	TRZBD12TH	AC015985.8	3.0132000	cLEZ8A24
T1671	TRZBD16TH	AF024504.2	2.1040000	cLEZ8C8
T1673	TRZBD24TH	AC010927.3	3.0135000	cLEZ8C24
T1675	TRZBD37TH	AC012563.5	1.1331000	cLEZ8G2
T1676	TRZBD54TH	AC027665.4	1.0446600	cLEZ8I12
T1677	TRZBD55TH	AL035396.1	4.1280000	cLEZ8I14
T1679	TRZBD60TH	AC006264.3	2.1210000	cLEZ8I24
T1680	TRZBD70TH	AC002332.2	2.1870000	cLEZ8K20
T1681	TRZBD79TH	AL021961.2	4.1740000	cLEZ8M14
T1682	TRZBF06TH	AC006921.5	2.1990000	cLEZ8B12
T1683	TRZBF08TH	AB025631.1	3.0560000	cLEZ8B16
T1684	TRZBF09TH	AC027034.8	1.0994000	cLEZ8B18
T1685	TRZBF14TH	AC004122.1	1.0280000	cLEZ8D4
T1687	TRZBF32TH	AC003970.1	1.0260000	cLEZ8F16
T1688	TRZBF48TH	AC007396.6	1.1415000	cLEZ8H24
T1689	TRZBF68TH	AL132955.1	3.1105000	cLEZ8L16
T1690	TRZBF70TH	AB022215.1	3.0650000	cLEZ8L20
T1692	TRZBF92TH	AC006232.3	2.1560000	cLEZ8P16
T1694	TRZBG02TH	AB009051.1	5.2740000	cLEZ9A3
T1695	TRZBG05TH	AC006068.3	2.1960000	cLEZ9A9
T1696	TRZBG12TH	AF069716.1	5.0510000	cLEZ9A23
T1697	TRZBG19TH	AL035708.2	4.1980100	cLEZ9C13
T1698	TRZBG33TH	AB010693.1	5.1510000	cLEZ9E17
T1699	TRZBG34TH	AB026655.1	3.0670000	cLEZ9E19
T1700	TRZBG45TH	AP002063.2	3.0172000	cLEZ9G17
T1701	TRZBG50TH	AC005698.1	1.1170000	cLEZ9I3
T1702	TRZBG53TH	AL049482.1	4.0620000	cLEZ9I9
T1703	TRZBG63TH	AC004561.2	2.1670000	cLEZ9K5
T1704	TRZBG70TH	AC018907.3	3.0113000	cLEZ9K19
T1705	TRZBG76TH	AP000607.2	5.0935000	cLEZ9M7
T1706	TRZBG82TH	AC011664.8	3.0036000	cLEZ9M19
T1707	TRZBH21TH	AL031394.1	4.1720000	cLEZ9C18
T1708	TRZBH22TH	AF002109.2	2.2160000	cLEZ9C20
T1709	TRZBH35TH	AL049746.1	3.1110000	cLEZ9E22
T1710	TRZBH45TH	AC005287.4	1.0980000	cLEZ9G18
T1711	TRZBH48TH	AB018119.1	5.2980000	cLEZ9G24
T1712	TRZBH60TH	AL022373.1	4.1840000	cLEZ9I24
T1713	TRZBH66TH	AL021961.2	4.1740000	cLEZ9K12
T1714	TRZBH72TH	AB011484.1	5.0200000	cLEZ9K24
T1715	TRZBH77TH	AC009322.1	1.1550000	cLEZ9M10
T1716	TRZBH82TH	AB013389.1	5.2970000	cLEZ9M20
T1717	TRZBH91TH	AL132969.2	3.1182000	cLEZ9O14
T1719	TRZBI06TH	AC000098.1	1.0130000	cLEZ9B11
T1720	TRZBI10TH	AL132962.1	3.2500000	cLEZ9B19
T1721	TRZBI14TH	AF077407.1	5.0590000	cLEZ9D3
T1722	TRZBI19TH	AL023094.2	4.1760000	cLEZ9D13
T1723	TRZBI34TH	AB025633.2	5.0410000	cLEZ9F19
T1724	TRZBI58TH	AC002505.2	2.1490000	cLEZ9J19
T1725	TRZBI67TH	AB011480.1	5.0270000	cLEZ9L13
T1726	TRZBI70TH	AC006955.5	2.0230000	cLEZ9L19
T1728	TRZBJ01TH	AL049862.1	3.1150000	cLEZ9B2
T1729	TRZBJ07TH	AL133452.1	3.1150600	cLEZ9B14
T1734	TRZBJ44TH	AB028607.1	3.0810000	cLEZ9H16
T1735	TRZBJ45TH	AB016882.1	5.1640000	cLEZ9H18
T1736	TRZBJ50TH	AL035602.1	4.1410000	cLEZ9J4
T1737	TRZBJ51TH	AL049914.1	4.1580000	cLEZ9J6
T1738	TRZBJ56TH	AB025629.1	3.0600000	cLEZ9J16
T1739	TRZBJ58TH	AB028607.1	3.0810000	cLEZ9J20
T1742	TRZBJ62TH	AC019018.7	1.0932000	cLEZ9L4
T1743	TRZBJ66TH	AC010927.3	3.0135000	cLEZ9L12
T1744	TRZBJ79TH	AC002505.2	2.1490000	cLEZ9N14
T1746	TRZBJ90TH	AB010692.1	5.0070000	cLEZ9P12
T1747	TRZBJ92TH	AC011622.4	1.1215000	cLEZ9P16
T1749	TRZBK20TH	AL050351.1	4.1960000	cLEZ10C15
T1750	TRZBK34TH	AC007592.4	1.0180000	cLEZ10E19
T1751	TRZBK46TH	AL021684.1	5.2930000	cLEZ10G19
T1752	TRZBK71TH	AB005230.2	5.0210000	cLEZ10K21
T1753	TRZBK73TH	AL078637.1	4.1240000	cLEZ10M1
T1755	TRZBK85TH	AB005241.1	5.0080000	cLEZ10O1
T1756	TRZBK89TH	AP000372.1	5.1750000	cLEZ10O9
T1757	TRZBK95TH	AL133315.1	3.1141000	cLEZ10O21
T1758	TRZBK96TH	AC021043.4	1.0616000	cLEZ10O23
T1759	TRZBL06TH	AC009525.3	1.0030000	cLEZ10A12
T1761	TRZBL19TH	AC008148.2	1.1390000	cLEZ10C14
T1762	TRZBL20TH	AB024031.1	5.1890000	cLEZ10C16
T1764	TRZBL31TH	AC013482.2	1.0465000	cLEZ10E14
T1765	TRZBL50TH	AC000098.1	1.0130000	cLEZ10I4
T1766	TRZBL58TH	AB020749.1	3.0490000	cLEZ10I20
T1767	TRZBL69TH	AC005278.1	1.0050000	cLEZ10K18
T1768	TRZBL94TH	AC005679.1	1.1498000	cLEZ10O20
T1769	TRZBM07TH	AC006592.5	2.1280000	cLEZ10B13
T1771	TRZBM14TH	AC002341.2	2.1890000	cLEZ10D3
T1773	TRZBM42TH	AC007260.2	1.1497000	cLEZ10H11
T1775	TRZBM68TH	AC008017.2	1.1400000	cLEZ10L15
T1777	TRZBM79TH	AC006434.5	1.1414000	cLEZ10N13
T1778	TRZBM91TH	AC011664.8	3.0036000	cLEZ10P13
T1779	TRZBP17TH	AL117188.1	4.1810000	cLEZ11C10
T1780	TRZBP23TH	AB013387.1	5.2170000	cLEZ11C22
T1781	TRZBP31TH	AL022580.1	4.1010000	cLEZ11E14
T1782	TRZBP32TH	AC007504.3	1.0900000	cLEZ11E16
T1784	TRZBP44TH	AB005231.2	5.1040000	cLEZ11G16
T1785	TRZBP48TH	AC003974.2	2.1840000	cLEZ11G24
T1786	TRZBP58TH	AB012245.1	5.1570000	cLEZ11I20
T1787	TRZBP60TH	AC006929.3	2.1580000	cLEZ11I24
T1788	TRZBP63TH	AB020755.1	5.2490000	cLEZ11K6
T1789	TRZBP68TH	AB026647.1	3.0780000	cLEZ11K16
T1790	TRZBP76TH	AC011914.7	1.1341000	cLEZ11M8
T1792	TRZBP78TH	AC000132.1	1.0270000	cLEZ11M12
T1794	TRZBP93TH	AB007645.1	5.3030000	cLEZ11O18
T1795	TRZBS03TH	AC006569.4	2.1170000	cLEZ12A5
T1796	TRZBS06TH	AC005687.1	1.0820000	cLEZ12A11
T1797	TRZBS11TH	AC013427.3	1.0566000	cLEZ12A21
T1798	TRZBS13TH	AC006234.3	2.1200000	cLEZ12C1
T1799	TRZBS32TH	AC009526.4	1.0840000	cLEZ12E15
T1800	TRZBS34TH	AL050400.1	4.1310000	cLEZ12E19
T1801	TRZBS60TH	AB010072.1	5.1220000	cLEZ12I23
T1804	TRZBS69TH	AL035525.1	4.1700000	cLEZ12K17
T1805	TRZBS75TH	AC012561.2	1.0906000	cLEZ12M5
T1806	TRZBS78TH	AL137898.1	3.2400000	cLEZ12M11
T1811	TRZCE32TH	AB025628.1	5.1690000	cLEZ15E15
T1813	TRZCE43TH	AC000348.2	1.0590000	cLEZ15G13
T1815	TRZCE65TH	AC003671.1	1.1370000	cLEZ15K9
T1817	TRZCE89TH	AC012654.2	1.1395000	cLEZ15O9
T1818	TRZCE91TH	AC004077.2	2.1910000	cLEZ15O13
T1819	TRZCF06TH	AB010692.1	5.0070000	cLEZ15A12
T1821	TRZCF17TH	AB019228.1	5.2470000	cLEZ15C10
T1822	TRZCF32TH	AL049525.1	4.0690000	cLEZ15E16
T1823	TRZCF42TH	AC024260.2	1.0952000	cLEZ15G12
T1824	TRZCF51TH	AC004669.2	2.1750000	cLEZ15I6
T1825	TRZCG11TH	AL035521.1	4.1750000	cLEZ15B21
T1826	TRZCG15TH	AC000103.2	1.0560000	cLEZ15D5
T1827	TRZCG16TH	AC008113.4	1.1330000	cLEZ15D7
T1828	TRZCG18TH	AB005234.1	5.2780000	cLEZ15D11
T1830	TRZCG39TH	AB010699.1	5.1150000	cLEZ15H5
T1833	TRZCG70TH	AL080252.2	4.0500000	cLEZ15L19
T1834	TRZCG74TH	AC005278.1	1.0050000	cLEZ15N3
T1835	TRZCG85TH	AC024174.2	1.0165000	cLEZ15P1
T1836	TRZCG91TH	AL035601.1	4.1880000	cLEZ15P13
T1837	TRZCG95TH	AC006551.6	1.0470000	cLEZ15P21
T1838	TRZCJ03TH	AC006439.3	2.1080000	cLEZ16A6
T1839	TRZCJ19TH	AC000132.1	1.0270000	cLEZ16C14
T1840	TRZCJ27TH	AC005278.1	1.0050000	cLEZ16E6
T1841	TRZCJ31TH	AC069251.5	1.0446700	cLEZ16E14
T1843	TRZCJ41TH	AP002065.1	3.0545000	cLEZ16G10
T1844	TRZCJ42TH	Z97338.2	4.0870000	cLEZ16G12
T1845	TRZCJ48TH	AC002337.2	2.2530000	cLEZ16G24
T1846	TRZCJ49TH	AC005278.1	1.0050000	cLEZ16I2
T1847	TRZCJ51TH	AL137189.2	5.0001000	cLEZ16I6
T1848	TRZCJ52TH	AB025624.1	3.0540000	cLEZ16I8
T1850	TRZCJ56TH	AB025622.1	5.2090000	cLEZ16I16
T1851	TRZCJ72TH	AL132962.1	3.2500000	cLEZ16K24
T1852	TRZCJ74TH	AL050399.1	4.0720000	cLEZ16M4
T1853	TRZCJ84TH	AB019230.1	3.0470000	cLEZ16M24
T1855	TRZCK22TH	AC004705.2	2.0860000	cLEZ16D19
T1857	TRZCK52TH	Z99708.1	4.1860000	cLEZ16J7
T1858	TRZCK56TH	AC007627.3	5.0670000	cLEZ16J15
T1859	TRZCK57TH	AC007211.5	2.0240000	cLEZ16J17
T1860	TRZCK83TH	AL132978.1	3.1147000	cLEZ16N21
T1861	TRZCL03TH	AC009917.2	1.0641000	cLEZ16B6
T1863	TRZCL14TH	AB023038.1	3.0280000	cLEZ16D4
T1866	TRZCL41TH	AC006929.3	2.1580000	cLEZ16H10
T1867	TRZCL47TH	AF058825.1	5.0730000	cLEZ16H22
T1868	TRZCL48TH	Z97344.2	4.0930000	cLEZ16H24
T1872	TRZCL68TH	AB005244.2	5.0420000	cLEZ16L16
T1874	TRZCL93TH	AB026649.1	3.0870000	cLEZ16P18
T1875	TRZCM27TH	AC009991.3	3.0150000	cLEZ17E5
T1876	TRZCM42TH	AC002343.1	4.1230000	cLEZ17G11
T1877	TRZCM58TH	AC012395.3	3.0119000	cLEZ17I19
T1878	TRZCM59TH	AC020576.2	1.0855000	cLEZ17I21
T1879	TRZCM61TH	AF160182.1	4.1550000	cLEZ17K1
T1882	TRZCO08TH	AB010697.1	5.0120000	cLEZ17B15
T1885	TRZCO41TH	AC012396.7	1.1402000	cLEZ17H9
T1886	TRZCO42TH	AB007647.1	5.1340000	cLEZ17H11
T1889	TRZCO46TH	AC007296.2	1.0360000	cLEZ17H19
T1890	TRZCO47TH	AB013387.1	5.2170000	cLEZ17H21
T1891	TRZCO48TH	AL021889.2	4.0940000	cLEZ17H23
T1892	TRZCO55TH	AC007915.3	1.0860000	cLEZ17J13
T1893	TRZCO58TH	AL022604.1	4.1800000	cLEZ17J19
T1894	TRZCO62TH	AB010073.1	5.2640000	cLEZ17L3
T1895	TRZCO82TH	AC005970.2	2.0320000	cLEZ17N19
T1896	TRZCO92TH	AB018116.1	5.2080000	cLEZ17P15
T1897	TRZCP11TH	AC009519.4	1.1240000	cLEZ17B22
T1900	TRZCP62TH	AB005244.2	5.0420000	cLEZ17L4
T1901	TRZCP67TH	AC000107.2	1.0644000	cLEZ17L14
T1903	TRZCP73TH	AC007047.6	2.0950000	cLEZ17N2
T1905	TRZCP82TH	AB022214.1	5.2220000	cLEZ17N20
T1906	TRZCP86TH	AC020622.2	1.0018000	cLEZ17P4
T1908	TRZCT26TH	AL353912.1	3.1181000	cLEZ18F4
T1909	TRZCT34TH	Z99708.1	4.1860000	cLEZ18F20
T1910	TRZCT39TH	AC006260.3	2.2030000	cLEZ18H6
T1911	TRZCT50TH	AB019230.1	3.0470000	cLEZ18J4
T1912	TRZCT59TH	AB008268.1	5.2820000	cLEZ18J22
T1914	TRZCT72TH	AC005970.2	2.0320000	cLEZ18L24
T1915	TRZCV02TH	AB025629.1	3.0600000	cLEZ19A4
T1919	TRZCX08TH	AF128393.1	4.0330000	cLEZ19B16
T1920	TRZCX29TH	AL080282.1	4.1080000	cLEZ19F10
T1921	TRZCX33TH	AC003674.2	2.2140000	cLEZ19F18
T1922	TRZCX36TH	AC018363.6	3.0043000	cLEZ19F24
T1923	TRZCX40TH	AL137898.1	3.2400000	cLEZ19H8
T1926	TRZCX69TH	AL078620.2	4.1970000	cLEZ19L18
T1927	TRZCX79TH	AB009055.1	5.2070000	cLEZ19N14
