CU	Tomato EST	A.t. Best	A.t.	EST
T1757	TRZBK95TH	AL133315	3.1141	cLEZ10O21
T1758	TRZBK96TH	AC021043	1.0616	cLEZ10O23
T1759	TRZBL06TH	AC009525	1.003	cLEZ10A12
T1761	TRZBL19TH	AC008148	1.139	cLEZ10C14
T1762	TRZBL20TH	AB024031	5.189	cLEZ10C16
T1764	TRZBL31TH	AC013482	1.0465	cLEZ10E14
T1765	TRZBL50TH	AC000098	1.013	cLEZ10I4 
T1766	TRZBL58TH	AB020749	3.049	cLEZ10I20
T1767	TRZBL69TH	AC005278	1.005	cLEZ10K18
T1768	TRZBL94TH	AC005679	1.1498	cLEZ10O20
T1769	TRZBM07TH	AC006592	2.128	cLEZ10B13
T1771	TRZBM14TH	AC002341	2.189	cLEZ10D3 
T1773	TRZBM42TH	AC007260	1.1497	cLEZ10H11
T1775	TRZBM68TH	AC008017	1.14	cLEZ10L15
T1777	TRZBM79TH	AC006434	1.1414	cLEZ10N13
T1778	TRZBM91TH	AC011664	3.0036	cLEZ10P13
T1779	TRZBP17TH	AL117188	4.181	cLEZ11C10
T1780	TRZBP23TH	AB013387	5.217	cLEZ11C22
T1781	TRZBP31TH	AL022580	4.101	cLEZ11E14
T1782	TRZBP32TH	AC007504	1.09	cLEZ11E16
T1784	TRZBP44TH	AB005231	5.104	cLEZ11G16
T1785	TRZBP48TH	AC003974	2.184	cLEZ11G24
T1786	TRZBP58TH	AB012245	5.157	cLEZ11I20
T1787	TRZBP60TH	AC006929	2.158	cLEZ11I24
T1788	TRZBP63TH	AB020755	5.249	cLEZ11K6 
T1789	TRZBP68TH	AB026647	3.078	cLEZ11K16
T1790	TRZBP76TH	AC011665	1.1342	cLEZ11M8 
T1792	TRZBP78TH	AC000132	1.027	cLEZ11M12
T1794	TRZBP93TH	AB007645	5.303	cLEZ11O18
T1795	TRZBS03TH	AC006569	2.117	cLEZ12A5 
T1796	TRZBS06TH	AC005687	1.082	cLEZ12A11
T1797	TRZBS11TH	AC013427	1.0566	cLEZ12A21
T1798	TRZBS13TH	AC006234	2.12	cLEZ12C1 
T1799	TRZBS32TH	AC009526	1.084	cLEZ12E15
T1800	TRZBS34TH	AL050400	4.131	cLEZ12E19
T1801	TRZBS60TH	AB010072	5.122	cLEZ12I23
T1804	TRZBS69TH	AL035525	4.17	cLEZ12K17
T1805	TRZBS75TH	AC012561	1.0906	cLEZ12M5 
T1806	TRZBS78TH	AL137898	3.24	cLEZ12M11
T1811	TRZCE32TH	AB025628	5.169	cLEZ15E15
T1813	TRZCE43TH	AC000348	1.059	cLEZ15G13
T1815	TRZCE65TH	AC003671	1.137	cLEZ15K9 
T1817	TRZCE89TH	AC012654	1.1395	cLEZ15O9 
T1818	TRZCE91TH	AC004077	2.191	cLEZ15O13
T1819	TRZCF06TH	AB010692	5.007	cLEZ15A12
T1821	TRZCF17TH	AB019228	5.247	cLEZ15C10
T1822	TRZCF32TH	AL049525	4.069	cLEZ15E16
T1823	TRZCF42TH	AC024260	1.0952	cLEZ15G12
T1824	TRZCF51TH	AC004669	2.175	cLEZ15I6 
T1825	TRZCG11TH	AL035521	4.175	cLEZ15B21
T1826	TRZCG15TH	AC000103	1.056	cLEZ15D5 
T1827	TRZCG16TH	AC008113	1.133	cLEZ15D7 
T1828	TRZCG18TH	AB005234	5.278	cLEZ15D11
T1830	TRZCG39TH	AB010699	5.115	cLEZ15H5 
T1833	TRZCG70TH	AL080252	4.05	cLEZ15L19
T1834	TRZCG74TH	AC005278	1.005	cLEZ15N3 
T1835	TRZCG85TH	AC024174	1.0165	cLEZ15P1 
T1836	TRZCG91TH	AL035601	4.188	cLEZ15P13
T1837	TRZCG95TH	AC006551	1.047	cLEZ15P21
T1838	TRZCJ03TH	AC006439	2.108	cLEZ16A6 
T1839	TRZCJ19TH	AC000132	1.027	cLEZ16C14
T1840	TRZCJ27TH	AC005278	1.005	cLEZ16E6 
T1841	TRZCJ31TH	AC069251	1.04467	cLEZ16E14
T1843	TRZCJ41TH	AP002065	3.0545	cLEZ16G10
T1844	TRZCJ42TH	Z97338	4.087	cLEZ16G12
T1845	TRZCJ48TH	AC002337	2.253	cLEZ16G24
T1846	TRZCJ49TH	AC005278	1.005	cLEZ16I2 
T1847	TRZCJ51TH	AL137189	5.0001	cLEZ16I6 
T1848	TRZCJ52TH	AB025624	3.054	cLEZ16I8 
T1850	TRZCJ56TH	AB025622	5.209	cLEZ16I16
T1851	TRZCJ72TH	AL132962	3.25	cLEZ16K24
T1852	TRZCJ74TH	AL050399	4.072	cLEZ16M4 
T1853	TRZCJ84TH	AB019230	3.047	cLEZ16M24
T1855	TRZCK22TH	AC004705	2.086	cLEZ16D19
T1857	TRZCK52TH	Z99708	4.186	cLEZ16J7 
T1858	TRZCK56TH	AC007627	5.067	cLEZ16J15
T1859	TRZCK57TH	AC007211	2.024	cLEZ16J17
T1860	TRZCK83TH	AL132978	3.1147	cLEZ16N21
T1861	TRZCL03TH	AC009917	1.0641	cLEZ16B6 
T1863	TRZCL14TH	AB023038	3.028	cLEZ16D4 
T1866	TRZCL41TH	AC006929	2.158	cLEZ16H10
T1867	TRZCL47TH	AF058825	5.073	cLEZ16H22
T1868	TRZCL48TH	Z97344	4.093	cLEZ16H24
T1872	TRZCL68TH	AB005244	5.042	cLEZ16L16
T1874	TRZCL93TH	AB026649	3.087	cLEZ16P18
T1875	TRZCM27TH	AC009991	3.015	cLEZ17E5 
T1876	TRZCM42TH	AC002343	4.123	cLEZ17G11
T1877	TRZCM58TH	AC012395	3.0119	cLEZ17I19
T1878	TRZCM59TH	AC020576	1.0855	cLEZ17I21
T1879	TRZCM61TH	AF160182	4.155	cLEZ17K1 
T1882	TRZCO08TH	AB010697	5.012	cLEZ17B15
T1885	TRZCO41TH	AC012396	1.1402	cLEZ17H9 
T1886	TRZCO42TH	AB007647	5.134	cLEZ17H11
T1889	TRZCO46TH	AC007296	1.036	cLEZ17H19
T1890	TRZCO47TH	AB013387	5.217	cLEZ17H21
T1891	TRZCO48TH	AL021889	4.094	cLEZ17H23
T1892	TRZCO55TH	AC007915	1.086	cLEZ17J13
T1893	TRZCO58TH	AL022604	4.18	cLEZ17J19
T1894	TRZCO62TH	AB010073	5.264	cLEZ17L3 
T1895	TRZCO82TH	AC005970	2.032	cLEZ17N19
T1896	TRZCO92TH	AB018116	5.208	cLEZ17P15
T1897	TRZCP11TH	AC009519	1.24	cLEZ17B22
T1900	TRZCP62TH	AB005244	5.042	cLEZ17L4 
T1901	TRZCP67TH	AC004135	1.0643	cLEZ17L14
T1903	TRZCP73TH	AC007047	2.095	cLEZ17N2 
T1905	TRZCP82TH	AB022214	5.222	cLEZ17N20
T1906	TRZCP86TH	AC020622	1.0018	cLEZ17P4 
T1908	TRZCT26TH	AL050300	3.118	cLEZ18F4 
T1909	TRZCT34TH	Z99708	4.186	cLEZ18F20
T1910	TRZCT39TH	AC006260	2.203	cLEZ18H6 
T1911	TRZCT50TH	AB019230	3.047	cLEZ18J4 
T1912	TRZCT59TH	AB008268	5.282	cLEZ18J22
T1914	TRZCT72TH	AC005970	2.032	cLEZ18L24
T1915	TRZCV02TH	AB025629	3.06	cLEZ19A4 
T1919	TRZCX08TH	AF128393	4.033	cLEZ19B16
T1920	TRZCX29TH	AL080282	4.108	cLEZ19F10
T1921	TRZCX33TH	AC003674	2.214	cLEZ19F18
T1922	TRZCX36TH	AC018363	3.0043	cLEZ19F24
T1923	TRZCX40TH	AL137898	3.24	cLEZ19H8 
T1926	TRZCX69TH	AL078620	4.197	cLEZ19L18
T1927	TRZCX79TH	AB009055	5.207	cLEZ19N14
